
number of params: 3072 

val --- avg_loss: 0.4616, acc: 1.0000  

epoch: 115 avg_loss: 0.7041, acc: 0.7519 
val --- avg_loss: 0.4586, acc: 1.0000  

epoch: 116 avg_loss: 0.7000, acc: 0.7542 
val --- avg_loss: 0.4543, acc: 1.0000  

epoch: 117 avg_loss: 0.6958, acc: 0.7554 
val --- avg_loss: 0.4508, acc: 1.0000  

epoch: 118 avg_loss: 0.6917, acc: 0.7568 
val --- avg_loss: 0.4474, acc: 1.0000  

epoch: 119 avg_loss: 0.6877, acc: 0.7580 
val --- avg_loss: 0.4430, acc: 1.0000  

epoch: 120 avg_loss: 0.6836, acc: 0.7620 
val --- avg_loss: 0.4405, acc: 1.0000  

epoch: 121 avg_loss: 0.6797, acc: 0.7637 
val --- avg_loss: 0.4370, acc: 1.0000  

epoch: 122 avg_loss: 0.6757, acc: 0.7666 
val --- avg_loss: 0.4336, acc: 1.0000  

epoch: 123 avg_loss: 0.6719, acc: 0.7689 
val --- avg_loss: 0.4299, acc: 1.0000  

epoch: 124 avg_loss: 0.6679, acc: 0.7703 
val --- avg_loss: 0.4260, acc: 1.0000  

epoch: 125 avg_loss: 0.6641, acc: 0.7732 
val --- avg_loss: 0.4224, acc: 1.0000  

epoch: 126 avg_loss: 0.6603, acc: 0.7763 
val --- avg_loss: 0.4204, acc: 1.0000  

epoch: 127 avg_loss: 0.6565, acc: 0.7786 
val --- avg_loss: 0.4174, acc: 1.0000  

epoch: 128 avg_loss: 0.6528, acc: 0.7792 
val --- avg_loss: 0.4128, acc: 1.0000  

epoch: 129 avg_loss: 0.6491, acc: 0.7815 
val --- avg_loss: 0.4103, acc: 1.0000  

epoch: 130 avg_loss: 0.6453, acc: 0.7835 
val --- avg_loss: 0.4070, acc: 1.0000  

epoch: 131 avg_loss: 0.6416, acc: 0.7858 
val --- avg_loss: 0.4043, acc: 1.0000  

epoch: 132 avg_loss: 0.6379, acc: 0.7884 
val --- avg_loss: 0.4014, acc: 1.0000  

epoch: 133 avg_loss: 0.6344, acc: 0.7904 
val --- avg_loss: 0.3983, acc: 1.0000  

epoch: 134 avg_loss: 0.6308, acc: 0.7929 
val --- avg_loss: 0.3952, acc: 1.0000  

epoch: 135 avg_loss: 0.6273, acc: 0.7947 
val --- avg_loss: 0.3920, acc: 1.0000  

epoch: 136 avg_loss: 0.6238, acc: 0.7961 
val --- avg_loss: 0.3900, acc: 1.0000  

epoch: 137 avg_loss: 0.6203, acc: 0.7978 
val --- avg_loss: 0.3876, acc: 1.0000  

epoch: 138 avg_loss: 0.6167, acc: 0.7998 
val --- avg_loss: 0.3845, acc: 1.0000  

epoch: 139 avg_loss: 0.6134, acc: 0.8015 
val --- avg_loss: 0.3815, acc: 1.0000  

epoch: 140 avg_loss: 0.6100, acc: 0.8047 
val --- avg_loss: 0.3794, acc: 1.0000  

epoch: 141 avg_loss: 0.6066, acc: 0.8061 
val --- avg_loss: 0.3768, acc: 1.0000  

epoch: 142 avg_loss: 0.6033, acc: 0.8079 
val --- avg_loss: 0.3733, acc: 1.0000  

epoch: 143 avg_loss: 0.6000, acc: 0.8087 
val --- avg_loss: 0.3717, acc: 1.0000  

epoch: 144 avg_loss: 0.5967, acc: 0.8102 
val --- avg_loss: 0.3681, acc: 1.0000  

epoch: 145 avg_loss: 0.5933, acc: 0.8110 
val --- avg_loss: 0.3655, acc: 1.0000  

epoch: 146 avg_loss: 0.5901, acc: 0.8119 
val --- avg_loss: 0.3631, acc: 1.0000  

epoch: 147 avg_loss: 0.5869, acc: 0.8136 
val --- avg_loss: 0.3599, acc: 1.0000  

epoch: 148 avg_loss: 0.5836, acc: 0.8170 
val --- avg_loss: 0.3580, acc: 1.0000  

epoch: 149 avg_loss: 0.5806, acc: 0.8190 
val --- avg_loss: 0.3565, acc: 1.0000  

epoch: 150 avg_loss: 0.5773, acc: 0.8205 
val --- avg_loss: 0.3534, acc: 1.0000  

epoch: 151 avg_loss: 0.5741, acc: 0.8222 
val --- avg_loss: 0.3504, acc: 1.0000  

epoch: 152 avg_loss: 0.5711, acc: 0.8225 
val --- avg_loss: 0.3484, acc: 1.0000  

epoch: 153 avg_loss: 0.5680, acc: 0.8239 
